stockcode,year,roc,ey,EBIT,EV
1B0,2014,42.48,0.14773956305429375,6830000.0,46230000.0
1B0,2015,28.06,0.04431926438305099,10700000.0,241430000.0
1B0,2016,19.33,0.052948255114320095,25080000.0,473670000.0
1B0,2017,9.35,0.06935748167313498,40210000.0,579750000.0
1B0,2018,5.94,0.08525876870247731,52140000.0,611550000.0
1B0,2019,0.83,0.062925436194351,32170000.0,511240000.0
1B0,2020,-28.03,-0.14300734019976247,-73450000.0,513610000.0
1B0,TTM,-25.79,-0.13863790500776652,-63370000.0,457090000.0
1F2,2017,23.22,0.15784182305630026,4710000.0,29840000.0
1F2,2018,27.06,0.17083225972687452,6630000.0,38810000.0
1F2,2019,28.53,0.2509464575446187,9280000.0,36980000.0
1F2,2020,38.24,0.1600140465878497,13670000.0,85430000.0
1F2,TTM,27.89,0.054277009608624326,11580000.0,213350000.0
1F3,2017,22.63,0.2889726299087664,43710000.0,151260000.0
1F3,2018,9.59,0.2200851203142904,26890000.0,122180000.0
1F3,2019,2.53,0.0686058535269523,15260000.0,222430000.0
1F3,2020,8.94,0.026866381359961958,10170000.0,378540000.0
1F3,2021,-8.75,-0.047217421361908055,-13660000.0,289300000.0
1F3,TTM,-8.74,-0.054770885161704516,-13650000.0,249220000.0
49B,2014,5.9,0.028109083875959,8720000.0,310220000.0
49B,2015,0.9,-0.0029668463171647888,-726640.0,244920000.0
49B,2016,-9.28,-0.06992212848799481,-8620000.0,123280000.0
49B,2017,-27.72,-0.8718674211802748,-43140000.0,49480000.0
49B,2018,-21.45,-0.25811467444120506,-26560000.0,102900000.0
49B,2019,-7.29,-0.19144272917857824,-20090000.0,104940000.0
49B,2020,-17.08,-0.19757842597688496,-14360000.0,72680000.0
49B,TTM,-14.31,-0.2894736842105263,-14740000.0,50920000.0
500,2015,11.77,0.138661660185061,20680000.0,149140000.0
500,2016,14.98,0.1860952380952381,29310000.0,157500000.0
500,2017,11.08,0.1215602757383848,21690000.0,178430000.0
500,2018,9.07,0.09143909174593434,14900000.0,162950000.0
500,2019,6.73,0.07773689052437903,11830000.0,152180000.0
500,2020,5.3,0.04596935376415723,6210000.0,135090000.0
500,2021,8.83,0.019004858847407588,3090000.0,162590000.0
500,TTM,3.74,0.010416110250520805,1950000.0,187210000.0
528,2015,3.88,0.0686359687228497,15010000.0,218690000.0
528,2016,2.69,0.0542316761149852,10810000.0,199330000.0
528,2017,3.63,0.04978023606104005,10080000.0,202490000.0
528,2018,3.02,0.052247600875470014,9310000.0,178190000.0
528,2019,1.81,0.06874610968946678,9940000.0,144590000.0
528,2020,1.74,0.057313389903638726,7970000.0,139060000.0
528,2021,3.69,0.03815007543800228,12390000.0,324770000.0
528,TTM,3.69,0.038530911804950864,12390000.0,321560000.0
533,2014,8.32,0.1167979002624672,8010000.0,68580000.0
533,2015,7.82,0.1203332304844184,7800000.0,64819999.99999999
533,2016,5.45,0.08555194805194805,5270000.0,61600000.0
533,2017,6.29,0.05837145471180238,6380000.0,109300000.0
533,2018,2.73,0.027997062603267852,3050000.0,108940000.0
533,2019,1.88,0.01984293927920348,2830000.0,142620000.0
533,2020,5.2,-0.042171717171717166,-5010000.0,118800000.0
533,TTM,5.53,-0.06007024342981712,-4960000.0,82570000.0
543,2015,8.63,0.09090909090909093,1750000.0,19250000.0
543,2016,4.56,0.22839116719242905,3620000.0,15850000.0
543,2017,4.19,0.16888433981576256,1650000.0,9770000.0
543,2018,9.21,0.3195364238410596,1930000.0,6040000.0
543,2019,-1.47,0.13737769080234832,702000.0,5110000.0
543,2020,3.76,0.04072727272727273,224000.0,5500000.0
543,2021,4.38,0.004160887656033287,30000.0,7210000.0
543,TTM,4.36,0.021273516642547032,294000.0,13820000.0
544,2014,15.76,0.15044277698911648,44510000.0,295860000.0
544,2015,13.77,0.2207021856463421,41300000.0,187130000.0
544,2016,8.6,0.17556797906506486,29520000.0,168140000.0
544,2017,-25.95,0.11754265429978245,20530000.0,174660000.0
544,2018,12.4,0.17840197380907194,28200000.0,158070000.0
544,2019,12.32,0.08926727063475669,30250000.0,338870000.0
544,2020,12.3,0.1199604743083004,36420000.0,303600000.0
544,TTM,9.07,0.101734893392508,32780000.0,322210000.0
554,2014,18.36,0.01899865891819401,2550000.0,134220000.0
554,2015,-19.96,0.07930283224400872,9100000.0,114750000.0
554,2016,1.28,0.08950452850293021,6720000.0,75080000.0
554,2017,-6.49,0.026207924481430882,2110000.0,80510000.0
554,2018,3.3,0.02722323049001815,1950000.0,71630000.0
554,2019,0.65,0.008388481488105884,469000.0,55910000.0
554,2020,-2.45,-0.0619953112789789,-2380000.0,38390000.0
554,TTM,1.16,0.008690276613579212,207350.0,23860000.0
558,2014,13.05,0.14734965148322254,27270000.0,185070000.0
558,2015,17.81,0.18557776801405976,33790000.0,182080000.0
558,2016,11.77,0.11357732099721983,24920000.0,219410000.0
558,2017,25.52,0.1111242231138384,56500000.0,508440000.0
558,2018,19.13,0.13671265173479466,42910000.0,313870000.0
558,2019,13.91,0.06421216964650782,34550000.0,538060000.0
558,2020,14.3,0.08663406831112648,47660000.0,550130000.0
558,TTM,16.71,0.08093606730817675,64260000.00000001,793960000.0
564,2015,15.64,0.3133680555555556,14440000.0,46080000.0
564,2016,11.77,0.22590861106922036,14980000.0,66310000.0
564,2017,15.17,0.2585934129152884,17980000.0,69530000.0
564,2018,12.7,0.17528056704075606,11870000.0,67720000.0
564,2019,13.34,0.28312570781426954,17500000.0,61810000.0
564,2020,9.79,0.2672811059907834,13340000.0,49910000.0
564,2021,14.98,0.22376558856331746,22070000.0,98630000.0
564,TTM,13.74,0.17605336485687748,20850000.0,118430000.0
566,2014,5.18,0.03303038171903402,6360000.0,192550000.0
566,2015,4.86,-0.02707749766573296,-2320000.0,85680000.0
566,2016,2.04,0.04482132041187159,2960000.0,66040000.00000001
566,2017,-8.87,-0.06304208159331834,-7850000.0,124520000.0
566,2018,-1.38,-0.026435810810810808,-3130000.0,118400000.0
566,2019,-3.49,-0.047215611613517366,-4960000.0,105050000.0
566,2020,-10.86,-0.062322082147214325,-6130000.0,98360000.0
566,TTM,-11.39,0.02,1470000.0,73500000.0
569,2015,10.9,0.16378964271376958,4080000.0,24910000.0
569,2016,9.32,0.11669203450025367,4600000.0,39420000.0
569,2017,5.46,0.0835635359116022,3630000.0,43440000.0
569,2018,6.13,-0.006665336260227499,-334000.0,50110000.0
569,2019,7.14,0.02082942830365511,889000.0,42680000.0
569,2020,7.88,0.0375882946518668,2980000.0,79280000.0
569,2021,13.76,0.048751180156209765,5680000.0,116510000.0
569,TTM,13.76,0.07975888879182319,9130000.0,114470000.0
570,2014,25.03,0.16470588235294115,5740000.0,34850000.0
570,2015,23.13,0.14783450278248245,6110000.0,41330000.0
570,2016,7.95,0.03037120359955005,1350000.0,44450000.0
570,2017,-24.27,-0.02034987504462692,-570000.0,28010000.0
570,2018,-22.6,-0.20527306967984932,-2180000.0,10620000.0
570,2019,-14.8,-0.21158536585365853,-607250.0,2870000.0
570,2020,-12.19,-0.31533477321814257,-1460000.0,4630000.0
570,TTM,-2.06,-0.0027653846153846157,-7190.0,2600000.0
573,2015,25.65,0.2096807844773628,20100000.0,95860000.0
573,2016,15.85,0.13135663408977968,15860000.0,120740000.0
573,2017,19.03,0.20146067415730334,17930000.0,89000000.0
573,2018,21.85,0.23082343466881414,22930000.0,99340000.0
573,2019,17.02,0.1538042208550736,19750000.0,128410000.0
573,2020,18.51,0.21332655137334688,20970000.0,98300000.0
573,2021,11.48,0.11554501006614898,16070000.0,139080000.0
573,TTM,11.48,0.11518550474547025,16020000.0,139080000.0
575,2014,3.37,0.02357825868142929,937000.0,39740000.0
575,2015,-26.85,-1.4962805526036131,-14080000.0,9410000.0
575,2016,1.57,-0.24547390841320554,-4610000.0,18780000.0
575,2017,-16.92,-0.2093073593073593,-9670000.0,46200000.0
575,2018,-26.91,-2.6538461538461537,-21390000.0,8060000.000000001
575,2019,9.51,-0.14055636896046853,-1920000.0,13660000.0
575,2020,2.7,0.17386363636363636,-1530000.0,-8800000.0
575,TTM,2.4,0.07307692307692308,-760000.0,-10400000.0
579,2018,45.9,-0.1232824427480916,-9690000.0,78600000.0
579,2019,-16.8,-0.067356866658351,-5400000.0,80170000.0
579,2020,24.6,0.0053816268839473325,3560000.0,661510000.0
596,2014,-0.36,0.13676588897827835,-1700000.0,-12430000.0
596,2015,-5.02,0.18538884524744695,-2360000.0,-12730000.0
596,2016,2.18,-0.2467320261437909,-1510000.0,6120000.0
596,2017,-4.05,0.017808904452226115,356000.0,19990000.0
596,2018,-30.23,3.0359875598558523,-2460000.0,-810280.0
596,2019,1.05,-0.6981402002861229,-4880000.0,6990000.0
596,2020,-13.31,-0.4726651480637814,-4150000.0000000005,8780000.0
596,TTM,-20.22,-0.2677935943060498,-3010000.0,11240000.0
5AB,2014,4.96,0.022256863254524983,2570000.0,115470000.0
