stockcode,year,roc,ey,EBIT,EV,label
1B0,2014,42.48,0.1477395630542937,6830000.0,46230000.0,0
1B0,2015,28.06,0.0443192643830509,10700000.0,241430000.0,1
1B0,2016,19.33,0.05294825511432,25080000.0,473670000.0,0
1B0,2017,9.35,0.0693574816731349,40210000.0,579750000.0,0
1F2,2017,23.22,0.1578418230563002,4710000.0,29840000.0,0
1F3,2017,22.63,0.2889726299087664,43710000.0,151260000.0,0
49B,2014,5.9,0.0281090838759589,8720000.0,310220000.0,0
49B,2015,0.9,-0.0029668463171647,-726640.0,244920000.0,0
49B,2016,-9.28,-0.0699221284879948,-8620000.0,123280000.0,0
49B,2017,-27.72,-0.8718674211802748,-43140000.0,49480000.0,0
500,2015,11.77,0.138661660185061,20680000.0,149140000.0,0
500,2016,14.98,0.1860952380952381,29310000.0,157500000.0,0
500,2017,11.08,0.1215602757383848,21690000.0,178430000.0,0
528,2015,3.88,0.0686359687228497,15010000.0,218690000.0,0
528,2016,2.69,0.0542316761149852,10810000.0,199330000.0,0
528,2017,3.63,0.04978023606104,10080000.0,202490000.0,0
533,2014,8.32,0.1167979002624672,8010000.0,68580000.0,0
533,2015,7.82,0.1203332304844184,7800000.0,64819999.99999999,1
533,2016,5.45,0.085551948051948,5270000.0,61600000.0,0
533,2017,6.29,0.0583714547118023,6380000.0,109300000.0,0
543,2015,8.63,0.0909090909090909,1750000.0,19250000.0,0
543,2016,4.56,0.228391167192429,3620000.0,15850000.0,0
543,2017,4.19,0.1688843398157625,1650000.0,9770000.0,0
544,2014,15.76,0.1504427769891164,44510000.0,295860000.0,0
544,2015,13.77,0.2207021856463421,41300000.0,187130000.0,0
544,2016,8.6,0.1755679790650648,29520000.0,168140000.0,0
544,2017,-25.95,0.1175426542997824,20530000.0,174660000.0,0
554,2014,18.36,0.018998658918194,2550000.0,134220000.0,0
554,2015,-19.96,0.0793028322440087,9100000.0,114750000.0,0
554,2016,1.28,0.0895045285029302,6720000.0,75080000.0,0
554,2017,-6.49,0.0262079244814308,2110000.0,80510000.0,0
558,2014,13.05,0.1473496514832225,27270000.0,185070000.0,1
558,2015,17.81,0.1855777680140597,33790000.0,182080000.0,1
558,2016,11.77,0.1135773209972198,24920000.0,219410000.0,1
558,2017,25.52,0.1111242231138384,56500000.0,508440000.0,1
564,2015,15.64,0.3133680555555556,14440000.0,46080000.0,1
564,2016,11.77,0.2259086110692203,14980000.0,66310000.0,1
564,2017,15.17,0.2585934129152883,17980000.0,69530000.0,1
566,2014,5.18,0.033030381719034,6360000.0,192550000.0,0
566,2015,4.86,-0.0270774976657329,-2320000.0,85680000.0,0
566,2016,2.04,0.0448213204118715,2960000.0,66040000.00000001,0
566,2017,-8.87,-0.0630420815933183,-7850000.0,124520000.0,0
569,2015,10.9,0.1637896427137695,4080000.0,24910000.0,1
569,2016,9.32,0.1166920345002536,4600000.0,39420000.0,1
569,2017,5.46,0.0835635359116022,3630000.0,43440000.0,1
570,2014,25.03,0.1647058823529411,5740000.0,34850000.0,0
570,2015,23.13,0.1478345027824824,6110000.0,41330000.0,0
570,2016,7.95,0.03037120359955,1350000.0,44450000.0,0
570,2017,-24.27,-0.0203498750446269,-570000.0,28010000.0,0
573,2015,25.65,0.2096807844773628,20100000.0,95860000.0,1
573,2016,15.85,0.1313566340897796,15860000.0,120740000.0,1
573,2017,19.03,0.2014606741573033,17930000.0,89000000.0,1
575,2014,3.37,0.0235782586814292,937000.0,39740000.0,0
575,2015,-26.85,-1.4962805526036131,-14080000.0,9410000.0,0
575,2016,1.57,-0.2454739084132055,-4610000.0,18780000.0,0
575,2017,-16.92,-0.2093073593073593,-9670000.0,46200000.0,0
596,2014,-0.36,0.1367658889782783,-1700000.0,-12430000.0,0
596,2015,-5.02,0.1853888452474469,-2360000.0,-12730000.0,0
596,2016,2.18,-0.2467320261437908,-1510000.0,6120000.0,0
596,2017,-4.05,0.0178089044522261,356000.0,19990000.0,0
5AB,2014,4.96,0.0222568632545249,2570000.0,115470000.0,0
5AB,2015,-17.61,-0.1048128342245989,-8820000.0,84150000.0,0
5AB,2016,14.67,0.2893265903646526,10870000.0,37570000.0,0
5AB,2017,17.01,0.3806419257773319,15180000.0,39880000.0,0
5AU,2014,10.21,-535.2422907488987,4860000.0,-9080.0,0
5AU,2015,8.6,0.2147157190635451,3210000.0,14950000.0,0
5AU,2016,6.52,-2.6171875,3350000.0,-1280000.0,0
5AU,2017,4.45,0.1432926829268292,1410000.0,9840000.0,0
5CF,2015,6.8,0.3517460317460317,5540000.0,15750000.0,0
5CF,2016,12.87,0.6432160804020101,11520000.0,17910000.0,0
5CF,2017,10.26,0.5602636534839924,11900000.0,21240000.0,0
5CF,2015,6.8,0.3517460317460317,5540000.0,15750000.0,0
5CF,2016,12.87,0.6432160804020101,11520000.0,17910000.0,0
5CF,2017,10.26,0.5602636534839924,11900000.0,21240000.0,0
5DD,2015,27.32,0.2001412761949611,17000000.0,84940000.0,1
5DD,2016,24.47,0.2155667969648195,18750000.0,86980000.0,1
5DD,2017,28.11,0.1511057384626324,21250000.0,140630000.0,1
5DD,2015,27.32,0.2001412761949611,17000000.0,84940000.0,1
5DD,2016,24.47,0.2155667969648195,18750000.0,86980000.0,1
5DD,2017,28.11,0.1511057384626324,21250000.0,140630000.0,1
5DO,2014,3.41,0.0977005620848237,9560000.0,97850000.0,0
5DO,2015,-8.22,0.0348403635516196,2990000.0,85820000.0,0
5DO,2016,-29.47,-0.1425326519023282,-12550000.0,88050000.0,0
5DP,2015,1.03,-0.0287774142735974,-14250000.0,495180000.0,0
5DP,2016,2.41,0.0459118434702887,19030000.0,414490000.0,0
5DP,2017,11.74,0.0075256556442417,3630000.0,482350000.0,1
5DP,2015,1.03,-0.0287774142735974,-14250000.0,495180000.0,0
5DP,2016,2.41,0.0459118434702887,19030000.0,414490000.0,0
5DP,2017,11.74,0.0075256556442417,3630000.0,482350000.0,1
5GI,2014,-14.41,0.0513317191283292,3180000.0,61950000.0,0
5GI,2015,-95.46,-0.9478032294404808,-25240000.0,26630000.0,0
5GI,2016,-30.52,-0.0472334682860998,-1400000.0,29640000.0,0
5GI,2017,6.09,0.0464530068419157,1290000.0,27770000.0,0
5GJ,2015,2.03,0.1582859641451683,43440000.0,274440000.0,0
5GJ,2016,-895.35,-0.1866440019426906,-38430000.0,205900000.0,0
5GJ,2017,4.28,0.1866314531849336,29680000.0,159030000.0,0
5IC,2015,6.13,0.1313118497843187,31050000.0,236460000.0,1
5IC,2016,7.58,0.1542179103401017,42760000.0,277270000.0,1
5IC,2017,0.59,0.0344018347645207,12900000.0,374980000.0,1
5JK,2014,39.39,0.0101022572932685,9000000.0,890890000.0,1
5JK,2015,-0.75,0.017327056361972,13250000.0,764700000.0,1
5JK,2016,5.87,0.0108447211010066,6690000.0,616890000.0,0
5JK,2017,9.74,0.0577541460944423,45620000.0,789900000.0,0
5JK,2014,39.39,0.0101022572932685,9000000.0,890890000.0,1
5JK,2015,-0.75,0.017327056361972,13250000.0,764700000.0,1
5JK,2016,5.87,0.0108447211010066,6690000.0,616890000.0,0
5JK,2017,9.74,0.0577541460944423,45620000.0,789900000.0,0
5KI,2014,6.97,0.0368891424225137,1940000.0,52590000.0,0
5KI,2015,8.69,0.0562587904360056,2400000.0,42660000.0,0
5KI,2016,10.28,0.0426294820717131,2140000.0,50200000.0,0
5KI,2017,20.05,0.0491007707679132,1720000.0,35030000.0,0
5LY,2015,3.11,0.0570181714122192,15940000.0,279560000.0,0
5LY,2016,-6.0,0.0028273178999268,734000.0,259610000.0,0
5LY,2017,-449.1,-0.2965582810420232,-77980000.0,262950000.0,0
5MZ,2014,18.48,0.1476251604621309,14950000.0,101270000.0,0
5MZ,2015,17.49,0.1654569892473118,12310000.0,74400000.0,0
5MZ,2016,9.78,0.1704066138012485,10100000.0,59270000.0,0
5MZ,2017,7.79,0.1734226295382446,9840000.0,56740000.0,0
5NF,2014,8.12,0.0555083915627244,17000000.0,306260000.0,0
5NF,2015,0.72,0.0017464706738466,480000.0,274840000.0,0
5NF,2016,-11.21,-0.0387904468412943,-10070000.0,259600000.00000003,0
5NF,2017,-227.5,-0.1076113257205926,-25350000.0,235570000.0,0
5NV,2014,3.33,0.013643321852277,713000.0,52260000.0,0
5NV,2015,-2.04,-0.0544973544973544,-2060000.0,37800000.0,0
5NV,2016,3.64,0.1082474226804123,6300000.0,58200000.0,1
5NV,2017,7.82,0.1101270696958028,5720000.0,51940000.0,1
5PC,2015,1.78,-0.0012913759052007,-392320.0,303800000.0,0
5PC,2016,-1.86,-0.0056475469668446,-1470000.0,260290000.00000003,0
5PC,2017,5.65,0.0176979009466319,3870000.0,218670000.0,0
5SO,2014,13.32,0.0751196481697063,23230000.0,309240000.0,0
5SO,2015,15.38,0.0798826040554962,29940000.0,374800000.0,0
5SO,2016,15.59,0.0644292846127708,24650000.0,382590000.0,0
5SO,2017,6.85,0.1016530849825378,21830000.0,214750000.0,0
5SR,2014,32.52,-0.0086942825641833,-2760000.0,317450000.0,0
5SR,2015,49.16,0.0014318961293483,409150.0,285740000.0,0
5SR,2016,69.59,0.013059472716125,2130000.0,163100000.0,0
5SR,2017,31.31,0.0006476856016052,93610.0,144530000.0,0
5TT,2015,30.6,0.2578768095373261,18170000.0,70460000.0,1
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0,0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0,0
5TT,2015,30.6,0.2578768095373261,18170000.0,70460000.0,1
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0,0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0,0
5TT,2015,30.6,0.2578768095373261,18170000.0,70460000.0,1
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0,0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0,0
5VS,2015,15.46,0.0868776456359605,17240000.0,198440000.0,0
5VS,2016,6.26,0.0450616471414154,10270000.0,227910000.0,0
5VS,2017,6.03,0.0470052023387505,10210000.0,217210000.0,0
8A1,2014,-78.4,-0.0544071762870514,-2790000.0,51280000.0,0
8A1,2016,589.35,-0.0021815375115776,-70660.0,32390000.0,0
8A1,2017,5.6,0.0849858356940509,1200000.0,14120000.0,0
A04,2015,1.11,0.0185657248157248,12090000.0,651200000.0,0
A04,2016,0.29,0.0296993578517221,20350000.0,685200000.0,0
A04,2017,-10.71,-0.0379584946199887,-22260000.0,586430000.0,0
A04,2015,1.11,0.0185657248157248,12090000.0,651200000.0,0
A04,2016,0.29,0.0296993578517221,20350000.0,685200000.0,0
A04,2017,-10.71,-0.0379584946199887,-22260000.0,586430000.0,0
A04,2015,1.11,0.0185657248157248,12090000.0,651200000.0,0
A04,2016,0.29,0.0296993578517221,20350000.0,685200000.0,0
A04,2017,-10.71,-0.0379584946199887,-22260000.0,586430000.0,0
A04,2015,1.11,0.0185657248157248,12090000.0,651200000.0,0
A04,2016,0.29,0.0296993578517221,20350000.0,685200000.0,0
A04,2017,-10.71,-0.0379584946199887,-22260000.0,586430000.0,0
A31,2014,-35.31,-0.0268021182319247,-2480000.0,92530000.0,0
A31,2015,-45.01,-0.017136843990686,-956750.0,55830000.0,0
A31,2016,-31.44,-0.0253224284366152,-1610000.0,63580000.0,0
A31,2017,-118.35,-0.0967603824746681,-6780000.0,70070000.0,0
A33,2014,-168.95,-0.1222337739492054,-8230000.0,67330000.0,0
A33,2017,-63.94,-0.0148792491701957,-1300000.0,87370000.0,1
A34,2014,6.47,0.0398594686611492,22010000.0,552190000.0,0
A34,2015,2.5,0.0342186987635746,17740000.0,518430000.0,0
A34,2016,6.2,0.0300683543824437,15880000.0,528130000.0,0
A34,2017,3.71,0.0318974391970145,19830000.0,621680000.0,0
A34,2014,6.47,0.0398594686611492,22010000.0,552190000.0,0
A34,2015,2.5,0.0342186987635746,17740000.0,518430000.0,0
A34,2016,6.2,0.0300683543824437,15880000.0,528130000.0,0
A34,2017,3.71,0.0318974391970145,19830000.0,621680000.0,0
A55,2015,-11.92,-2.613963039014373,-12730000.0,4870000.0,0
A55,2016,2.51,0.2074966532797858,1550000.0,7470000.0,0
A55,2017,1.5,0.1263966480446927,905000.0,7160000.0,0
A55,2015,-11.92,-2.613963039014373,-12730000.0,4870000.0,0
A55,2016,2.51,0.2074966532797858,1550000.0,7470000.0,0
A55,2017,1.5,0.1263966480446927,905000.0,7160000.0,0
A55,2015,-11.92,-2.613963039014373,-12730000.0,4870000.0,0
A55,2016,2.51,0.2074966532797858,1550000.0,7470000.0,0
A55,2017,1.5,0.1263966480446927,905000.0,7160000.0,0
A55,2015,-11.92,-2.613963039014373,-12730000.0,4870000.0,0
A55,2016,2.51,0.2074966532797858,1550000.0,7470000.0,0
A55,2017,1.5,0.1263966480446927,905000.0,7160000.0,0
A55,2015,-11.92,-2.613963039014373,-12730000.0,4870000.0,0
A55,2016,2.51,0.2074966532797858,1550000.0,7470000.0,0
A55,2017,1.5,0.1263966480446927,905000.0,7160000.0,0
