Trading Name,Trading Code,RIC,Mkt Cap ($M),Sector
MM2 Asia,1B0,MM2A.SI,120.932,Cyclical Consumer Services
Union Gas,1F2,UNIO.SI,231.861,Utilities
Aspen,1F3,ASPE.SI,75.468,Real Estate
Avi-Tech Hldg,1R6,,,
AMOS Group,49B,AMOS.SI,26.25,Industrial Goods
Tai Sin Electric,500,TAIS.SI,175.936,Industrial Goods
Second Chance,528,SECD.SI,164.675,Real Estate
ABR,533,ABRH.SI,97.483,Food & Beverages
Noel Gifts Intl,543,NOEL.SI,21.52,Retailers
CSE Global,544,CSES.SI,245.132,Software & IT Services
King Wan,554,,,
UMS,558,UMSH.SI,803.743,Technology Equipment
Spindex Ind,564,SNEX.SI,151.128,Industrial Goods
SHS,566,SEEH.SI,110.86,Industrial & Commercial Services
Vicplas Intl,569,VICP.SI,112.538,Healthcare Services
Transit Concrete,570,TMCL.SI,14.496,Mineral Resources
Challenger,573,CHAL.SI,229.003,Retailers
ASTI,575,ATIH.SI,19.095,Technology Equipment
Oceanus,579,OCGL.SI,680.314,Food & Beverages
Pavillon,596,PAVI.SI,11.632,Cyclical Consumer Services
Trek 2000 Intl,5AB,TRKL.SI,27.714,Technology Equipment
AP Oil,5AU,AOIL.SI,27.641,Chemicals
OKP,5CF,OKPH.SI,58.91,Industrial & Commercial Services
Silverlake Axis,5CP,SLVX.SI,630.625,Financial Technology (Fintech) & Infrastructure
Micro-Mechanics,5DD,MMEC.SI,460.196,Technology Equipment
Ying Li Intl,5DM,YING.SI,172.878,Real Estate
Sakae,5DO,SAKA.SI,13.348,Cyclical Consumer Services
Heeton,5DP,HEET.SI,143.882,Real Estate
Sunpower,5GD,SUNP.SI,336.22,Industrial Goods
Interra Resource,5GI,INTR.SI,27.372,Energy - Fossil Fuels
AusGroup,5GJ,AUSG.SI,62.422,Energy - Fossil Fuels
SingHoldings,5IC,SHDS.SI,152.378,Real Estate
Gallant Venture,5IG,GLVT.SI,704.805,Automobiles & Auto Parts
Hiap Hoe,5JK,HIAP.SI,303.717,Real Estate
